item,transitivity,verb,sem_score,consistency,baseline
adjust-picture-TR,1.0,"['wiggle', 'turn', 'turn', 'turn', 'turn', 'tilt', 'tilt', 'tilt', 'tilt', 'swing', 'straighten', 'straighten', 'straighten', 'show', 'shift', 'rotate', 'rotate', 'rotate', 'rotate', 'rotate', 'move', 'move', 'move', 'move', 'look', 'move', 'leave', 'keep', 'move', 'adjust']",0.6323139706800993,1.0,1
approach-coatrack-IN,0.2,"['wheel', 'use', 'move', 'slide', 'slide', 'slide', 'slide', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'leave', 'glide', 'approach']",0.5383145462436029,0.6,0
ball-bounce-IN,0.13793103448275862,"['fall', 'fall', 'bounce', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'bounce', 'drop', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'move', 'respond']",0.3359332279235484,0.7241379310344828,0
ball-drop-IN,0.1111111111111111,"['drop', 'throw', 'throw', 'land', 'land', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop']",0.37497365132277427,0.7777777777777778,0
ball-hit-waterbottle-TR,0.9629629629629629,"['toss', 'knock', 'throw', 'knock', 'throw', 'knock', 'throw', 'knock', 'contain', 'liquid', 'strike', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'knock', 'throw', 'hit', 'hit', 'hit', 'hit', 'hit', 'hit', 'hit', 'hit', 'knock', 'hit', 'knock', 'fly']",0.46592843150301017,0.9259259259259258,1
ball-roll-IN,0.037037037037037035,"['roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'leave', 'move']",0.10837265632888457,0.9259259259259259,0
balloon-deflate-IN,0.13333333333333333,"['shrink', 'shrink', 'shrink', 'run', 'lose', 'lose', 'let', 'leak', 'escape', 'escape', 'dissipate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'deflate', 'go']",0.4629541386245875,0.7333333333333334,0
book-fall-over-IN,0.0,"['stand', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall']",0.05390189003805989,1.0,0
bottle-caps-spill-IN,0.23333333333333334,"['topple', 'tug', 'tip', 'tip', 'tip', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'spill', 'fall', 'pull', 'pull', 'pull', 'pull', 'pull', 'fall', 'spill', 'fly', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'fall', 'pull', 'fall', 'fall']",0.6154547867002649,0.5333333333333333,0
bounce-ball-TR,1.0,"['dribble', 'dribble', 'dribble', 'dribble', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'bounce', 'use']",0.2246976887395666,1.0,1
box-move-IN,0.0,"['slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'slide', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move']",0.33916235243213516,1.0,0
bread-spin-IN,0.07142857142857142,"['turn', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'roll', 'roll', 'roll', 'break']",0.21967964182167266,0.8571428571428572,0
break-stick-TR,1.0,"['snap', 'front', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'bend', 'break', 'bend', 'break']",0.19880727828373118,1.0,1
car-pass-tower-IN,0.07692307692307693,"['speed', 'slide', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'pass', 'pass', 'move', 'move', 'move', 'go', 'go', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'cross']",0.589267327406215,0.8461538461538461,0
cards-scatter-IN,0.2962962962962963,"['throw', 'throw', 'throw', 'strew', 'shoot', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'flip', 'flip', 'fall', 'fall', 'fall', 'drop', 'drop', 'blow', 'blow', 'blow']",0.6055785656566848,0.40740740740740744,0
close-microwave-door-TR,1.0,"['use', 'shut', 'shut', 'shut', 'shut', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'use']",0.25120448365424364,1.0,1
coatrack-approach-IN,0.0,"['walk', 'slide', 'slide', 'slide', 'slide', 'slide', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move', 'move']",0.2612005304856137,1.0,0
crush-can-TR,1.0,"['squish', 'smash', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crush', 'crumple', 'crumple', 'crumple', 'crumble', 'compact']",0.31962162034583724,1.0,1
cut-bread-TR,1.0,"['use', 'cut', 'slice', 'slice', 'slice', 'slice', 'slice', 'slice', 'slice', 'slice', 'slice', 'use', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut']",0.3547265472422699,1.0,1
dip-finger-in-jar-TR,0.9333333333333333,"['use', 'wipe', 'take', 'swipe', 'stick', 'stick', 'stick', 'stick', 'scoop', 'scoop', 'scoop', 'scoop', 'scoop', 'rub', 'put', 'put', 'put', 'put', 'put', 'open', 'run', 'dip', 'dip', 'dip', 'dip', 'dip', 'dip', 'dip', 'dip', 'dip', 'dip', 'dip']",0.6675268063307206,0.8666666666666667,1
door-microwave-close-IN,0.5087719298245614,"['try', 'close', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'shut', 'shut', 'shut', 'open', 'open', 'close', 'move', 'move', 'go', 'flap', 'fail', 'shut', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'close', 'rebound', 'close', 'open', 'close', 'open', 'bounce', 'throw', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop', 'drop']",0.5892592314814222,0.01754385964912286,0
fan-turn-IN,0.06666666666666667,"['turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'swivel', 'sit', 'rotate', 'rotate', 'rotate', 'revolve', 'pan', 'leave', 'oscillate', 'oscillate', 'oscillate', 'oscillate', 'oscillate', 'oscillate', 'oscillate', 'oscillate', 'oscillate', 'move', 'move', 'move', 'move', 'fan', 'blow', 'blow', 'blow', 'rotate']",0.6388055088874919,0.8666666666666667,0
fizzle-down-IN,0.1111111111111111,"['spill', 'shrink', 'settle', 'rise', 'settle', 'reduce', 'recede', 'pop', 'make', 'go', 'go', 'go', 'go', 'go', 'foam', 'fizzle', 'fizzle', 'fizzle', 'fizz', 'fall', 'empty', 'drain', 'drain', 'dissipate', 'dissipate', 'disappear', 'bubble', 'bubble', 'recede']",0.762341785566394,0.7777777777777778,0
hammer-nail-TR,1.0,"['use', 'use', 'pound', 'nail', 'hit', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer', 'hammer']",0.2814574694484873,1.0,1
hanger-swing-IN,0.0,"['wobble', 'swivel', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'swing', 'leave', 'sway', 'rock', 'rock', 'oscillate', 'move', 'move', 'hang', 'attach', 'swing', 'go', 'fling', 'dangle']",0.5322449366787817,1.0,0
